day,label,hr_maxHeartRate,hr_minHeartRate,hr_restingHeartRate,hr_lastSevenDaysAvgRestingHeartRate,resp_lowestRespirationValue,resp_highestRespirationValue,resp_avgWakingRespirationValue,resp_avgSleepRespirationValue,resp_avgTomorrowSleepRespirationValue,str_maxStressLevel,str_avgStressLevel,sleep_sleepTimeSeconds,sleep_napTimeSeconds,sleep_unmeasurableSleepSeconds,sleep_deepSleepSeconds,sleep_lightSleepSeconds,sleep_remSleepSeconds,sleep_awakeSleepSeconds,act_totalCalories,act_activeKilocalories,act_distance,sleep_averageRespirationValue,sleep_lowestRespirationValue,sleep_highestRespirationValue,sleep_awakeCount,sleep_avgSleepStress,sleep_avgHeartRate,client_id,user_id,source_file
0,90,86.0,47.0,49.0,48.64389294199936,5.0,22.0,14.0,14.0,14.0,76.0,19.0,22320.0,0.0,0.0,4440.0,10980.0,6900.0,540.0,2069.0,20.0,888.0,14.0,7.0,19.0,1.0,9.0,55.0,group7,16,dataset_user_16_train.csv
0,56,176.0,51.0,54.0,54.62001550074056,7.0,22.0,15.0,14.0,15.0,97.42973401183123,16.0,20820.0,7680.0,0.0,1680.0,15660.0,3480.0,240.0,2829.0,1003.0,15350.0,14.0,10.0,18.0,0.0,11.0,59.0,group7,25,dataset_user_25_train.csv
0,75,114.0,63.0,66.0,67.0,8.0,24.0,16.0,17.0,15.0,90.0,34.0,27774.0,0.0,0.0,4740.0,18720.0,4320.0,840.0,1946.0,352.0,3213.0,17.0,9.0,23.0,0.0,32.0,75.0,group7,34,dataset_user_34_train.csv
0,75,134.0,53.0,55.0,61.0,5.0,22.0,13.0,13.0,12.0,98.0,21.0,21600.0,0.0,0.0,4740.0,13440.0,3420.0,2040.0,2952.0,706.0,9153.0,13.0,9.0,19.0,1.0,13.0,61.0,group7,7,dataset_user_7_train.csv
1,74,111.0,46.0,47.0,50.0,8.0,23.0,15.0,14.0,14.0,81.0,22.0,36780.0,0.0,0.0,9120.0,21840.0,5820.0,360.0,2140.0,91.0,2802.0,14.0,8.0,18.0,0.0,15.0,52.0,group7,16,dataset_user_16_train.csv
1,20,120.0,51.07800519798687,48.0,58.0,7.0,23.0,15.0,15.0,15.0,93.0,19.0,15780.0,12420.0,0.0,3660.0,10740.0,1380.0,180.0,2515.0,689.0,13954.0,15.0,10.0,18.0,0.0,10.0,64.91703822516881,group7,25,dataset_user_25_train.csv
1,76,128.0,64.0,67.0,71.0,7.0,23.0,15.0,15.0,15.0,98.0,35.0,22215.0,0.0,0.0,4200.0,13860.0,4200.0,0.0,2011.0,417.0,3204.0,15.0,9.0,20.0,0.0,17.0,71.0,group7,34,dataset_user_34_train.csv
1,83,122.0,56.0,57.0,56.01424113083396,8.0,23.0,15.0,15.0,15.0,99.0,24.0,27060.0,0.0,0.0,3180.0,19560.0,4320.0,1320.0,1920.0,408.0,7191.0,15.0,11.671768649469586,19.994090584151458,0.941805249482349,13.109676733086783,57.88977600797379,group7,43,dataset_user_43_train.csv
1,90,119.0,47.0,49.0,57.0,5.0,21.0,13.0,12.0,12.0,99.0,21.0,21360.0,8460.0,0.0,3000.0,13080.0,5280.0,0.0,2499.0,253.0,2355.0,12.0,7.0,17.0,0.0,13.0,52.0,group7,7,dataset_user_7_train.csv
2,54,103.0,46.0,48.0,50.0,7.0,23.0,14.0,14.0,14.0,88.0,24.0,24900.0,0.0,0.0,4740.0,17280.0,2880.0,2640.0,2095.0,46.0,1178.0,14.0,10.0,17.0,2.0,16.0,53.0,group7,16,dataset_user_16_train.csv
2,74,181.0,51.0,53.0,57.0,8.0,21.0,15.0,15.0,15.0,90.0,31.0,11340.0,0.0,0.0,2400.0,8940.0,0.0,353.0689211098935,2869.0,1043.0,19265.0,15.0,8.0,20.0,0.3052801261561391,25.90060181364517,74.0,group7,25,dataset_user_25_train.csv
2,78,128.0,62.0,64.0,70.0,8.0,23.0,15.0,15.0,15.0,97.0,31.0,22440.0,0.0,0.0,4140.0,14580.0,3720.0,120.0,2045.0,451.0,2899.0,15.0,10.0,20.0,0.0,16.0,71.0,group7,34,dataset_user_34_train.csv
2,75,141.0,55.0,57.0,58.0,7.0,24.0,15.0,15.0,15.0,96.0,33.00000000000001,28620.0,0.0,0.0,4971.663047055352,19740.0,6240.0,780.0,2207.0,695.0,15897.0,15.0,8.0,21.0,1.0,18.0,58.988204004634106,group7,43,dataset_user_43_train.csv
2,95,117.0,47.0,49.0,55.0,7.0,21.0,13.0,12.0,13.0,99.0,24.0,26760.0,0.0,0.0,3600.0,16500.0,6660.0,120.0,2687.0,441.0,7806.0,12.0,7.0,16.0,0.0,8.0,51.0,group7,7,dataset_user_7_train.csv
3,43,104.0,46.0,48.0,49.0,6.0,22.0,14.0,14.0,15.0,90.0,24.0,17160.0,6900.0,0.0,3000.0,13020.0,1140.0,1560.0,2091.0,42.0,1040.0,14.0,7.0,20.0,2.0,24.0,57.0,group7,16,dataset_user_16_train.csv
3,79,121.0,53.0,57.0,57.0,7.0,23.0,14.0,15.0,15.0,94.0,20.0,28500.0,8280.0,0.0,4140.0,22920.0,1440.0,420.0,2379.0,553.0,13582.0,15.0,10.0,22.0,1.0,10.0,63.0,group7,25,dataset_user_25_train.csv
3,68,119.0,54.0,58.0,67.0,8.0,22.0,15.0,15.0,17.0,96.0,28.0,26794.0,0.0,540.0,3780.0,19200.0,3840.0,660.0,1811.0,217.0,1852.0,15.0,9.0,20.0,1.0,21.0,71.0,group7,34,dataset_user_34_train.csv
3,87,104.0,55.0,58.0,58.0,8.0,22.0,15.0,15.0,15.0,91.0,26.0,25297.0,0.0,0.0,5040.0,15780.0,4500.0,540.0,1759.0,247.0,7789.0,15.0,11.0,19.0,0.0,15.341762541861925,62.0,group7,43,dataset_user_43_train.csv
3,44,131.0,49.0,50.0,54.0,7.0,19.0,13.0,13.0,14.0,100.0,26.0,26880.0,0.0,480.0,6000.0,16200.0,4680.0,60.0,3432.0,1186.0,8049.0,13.0,9.0,17.0,0.0,10.0,53.0,group7,7,dataset_user_7_train.csv
4,77,109.0,47.0,50.0,50.0,7.0,23.0,15.0,15.0,14.0,80.0,20.0,11220.0,0.0,0.0,5640.0,4860.0,720.0,480.0,2093.0,44.0,828.0,15.0,11.0,18.0,1.0,15.0,54.0,group7,16,dataset_user_16_train.csv
4,61,114.0,54.0,57.0,57.0,8.0,21.0,14.0,15.0,15.0,93.0,36.0,29400.0,0.0,0.0,5700.0,20400.0,3300.0,240.0,2652.0,826.0,18594.0,15.0,9.0,20.0,0.0,24.0,67.0,group7,25,dataset_user_25_train.csv
4,77,129.0,65.0,67.0,67.0,9.0,24.0,15.0,17.0,16.0,97.0,41.0,22860.0,0.0,0.0,5340.0,14520.0,3000.0,360.0,2018.0,424.0,2750.0,17.0,12.0,22.0,0.0,29.0,71.158844742707,group7,34,dataset_user_34_train.csv
4,79,138.0,55.0,57.0,58.0,9.0,22.0,16.0,15.0,15.0,91.0,24.0,31099.946063690866,0.0,840.0,6840.0,21360.0,6540.0,1140.0,1879.0,367.0,4788.0,15.0,13.0,20.0,2.0,13.0,61.0,group7,43,dataset_user_43_train.csv
4,66,156.0,54.0,50.446394343942096,55.0,7.0,22.0,13.0,14.0,13.0,100.0,34.0,14580.0,0.0,0.0,4860.0,9420.0,300.0,1500.0,3786.0,1548.0,9803.0,14.0,10.0,17.0,1.0,24.0,63.0,group7,7,dataset_user_7_train.csv
5,90,92.0,45.0,48.0,49.0,6.0,21.0,13.0,14.0,14.0,80.0,20.0,21780.0,0.0,0.0,4320.0,11820.0,5640.0,360.0,2058.0,9.0,500.0,14.0,8.0,19.0,0.0,16.0,53.0,group7,16,dataset_user_16_train.csv
5,42,120.0,52.0,58.0,57.0,8.0,22.0,15.0,15.0,15.0,99.0,37.0,18420.0,5220.0,0.0,5040.0,12480.0,900.0,180.0,2885.0,1059.0,19389.0,15.0,10.0,20.0,0.0,23.0,69.0,group7,25,dataset_user_25_train.csv
5,79,114.0,61.0,64.0,67.0,9.0,22.0,16.0,16.0,16.0,95.0,27.0,23514.0,4200.0,0.0,6120.0,13440.0,3960.0,1020.0,1816.0,222.0,2582.0,16.0,12.0,20.0,1.0,16.0,69.0,group7,34,dataset_user_34_train.csv
5,82,104.0,53.0,55.0,57.0,8.0,23.0,17.0,15.0,15.0,86.0,20.0,23880.0,0.0,1860.0,3120.0,15000.0,5760.0,240.0,1647.0,135.0,5438.0,15.0,9.0,21.0,0.0,15.0,62.0,group7,43,dataset_user_43_train.csv
5,65,141.0,50.0,52.0,54.0,7.0,23.0,14.0,13.0,12.0,99.0,31.0,18960.0,0.0,0.0,6000.0,10260.0,2700.0,660.0,3166.0,928.0,16878.0,13.0,8.0,18.0,1.0,17.0,55.0,group7,7,dataset_user_7_train.csv
6,63,124.0,44.0,47.0,48.0,7.0,22.0,14.0,14.0,14.0,81.0,23.0,26580.0,0.0,0.0,4500.0,15180.0,6900.0,480.0,2109.0,60.0,2342.0,14.0,8.0,18.0,0.0,13.0,51.0,group7,16,dataset_user_16_train.csv
6,42,178.0,50.0,54.0,54.0,7.0,22.0,14.0,15.0,15.0,96.0,25.0,12180.0,0.0,0.0,4620.0,6900.0,660.0,360.0,3230.0,1404.0,27375.0,15.0,11.0,18.0,1.0,15.0,63.0,group7,25,dataset_user_25_train.csv
6,77,145.0,61.0,64.0,64.0,8.0,24.0,15.0,16.0,16.0,98.0,43.0,26520.0,0.0,0.0,3780.0,19320.0,3420.0,600.0,2468.0,874.0,5231.0,16.0,11.0,23.0,1.0,16.0,70.0,group7,34,dataset_user_34_train.csv
6,79,127.0,54.0,56.0,57.0,9.0,22.0,16.0,15.0,15.0,99.0,20.0,24831.0,1800.0,0.0,6360.0,13620.0,4860.0,360.0,1859.0,347.0,4644.0,15.0,13.0,19.0,0.0,14.0,60.0,group7,43,dataset_user_43_train.csv
6,68,143.0,49.0,51.0,52.0,7.0,22.0,13.0,12.0,12.0,100.0,25.0,18540.0,2460.0,0.0,2700.0,12120.0,3720.0,1440.0,2921.0,683.0,4628.0,12.0,8.0,18.0,2.0,12.0,54.0,group7,7,dataset_user_7_train.csv
7,79,108.0,44.0,46.0,48.0,7.0,23.0,15.0,14.0,13.0,96.0,26.0,25440.0,4020.0,0.0,780.0,18540.0,6120.0,2029.2381532676193,2116.0,67.0,1183.0,14.0,10.0,17.0,3.0,20.0,53.0,group7,16,dataset_user_16_train.csv
7,44,125.0,49.0,51.0,54.0,8.0,22.0,14.0,15.0,15.0,94.0,23.0,15859.0,0.0,0.0,6420.0,9180.0,300.0,60.0,2362.0,536.0,10826.0,15.0,9.0,19.0,0.0,36.0,66.0,group7,25,dataset_user_25_train.csv
